rpid,like,content
205036551056,8463,人生如棋，落子无悔，经典名句出现。 青竹小轩的友人们各自迎来新的人生阶段，甚至连韩劳模都有了蓄胡熟男造型，一声道友尽沧桑啊！
205056887344,5200,打戏决定下限，文戏决定上限。修的是仙，但讲的永远是人。
205040488352,4476,凡人能摊上你们这个制作组真是三生有幸
205044812096,4264,原来小龙，小秦，何仙师都是韩立本人不同抉择下的人生啊
205044286720,4113,又看了一遍，真的好看 受不了[笑哭][笑哭][笑哭]
205046448864,3958,小龙，小秦，何仙师其实都是韩立本人在不同抉择下的人生啊，若是没有小绿瓶就算他没被夺舍他伪灵根的他最多也就是成了小龙，后来要是取了墨彩环大概就是小秦了，最后要是没有结丹也只会是如何仙师一般身死道消了。[墨镜][委屈]
205036738400,3845,十年悟道，十年凡人。 由喜化悲，由死悟生。 韩立化凡虽然没有轰轰烈烈、紧凑刺激，却是你我凡人最真实的人生—— 等等？！你们居然都背着我偷偷结丹了？？？？！ 啊？？？？？？？？？？！ [凡人修仙传收藏集_我太难了]
205041608176,3729,老头晚年感叹用一生去追求虚无缥缈的仙道，真的有意义吗？ 但最后也给出了自已内心的答案：纵使前路渺茫，但落子无悔！
205036620448,3680,#凡人修仙传#星海飞驰第10集更新[凡人修仙传_遁出红尘][凡人修仙传_遁出红尘] 人生如棋，落子无悔。 每周六11:00，各位道友不见不散哦~
206370436704,3203,红尘劫的设计真的太用心了。 小龙，小秦，何仙师都和韩立一样，没有背景，天赋平平。 小龙选择了守护着父母家人，对应着没有上山修仙的韩立，或许能够安安稳稳地做一介无名散修。 小秦选择了和凡人结为伴侣，对应着没有抛下彩环的韩立，或许能拥有一段刻骨铭心的仙凡爱情。 何仙师选择了泊四海觅大道，对应着没有绿瓶加持的韩立，或许苦心问道蹉跎半生后同归于尘土。 三种选择，对应不同的结局。若问他们，会后悔自己的选择吗？我想何仙师的那句话给出了回应。 韩立在他们身上看见了不同世界线的自己，所以他教导小龙努力修行，帮助小秦夫妇治病，鼓励何仙师挺过生死。因为自己淋过雨，所以也想为别人撑伞。 但与此同时，韩立也深深明白了大道的艰辛。一路坎坷谁能懂，遗憾有千重。既然选择了踏上修仙之路，经历了那么多生死和离别，就更不应该轻易放弃。 人生如棋，落子无悔。 经此一劫，韩立问道之心愈加坚定，方能实现今后的境界突破，这恰恰也是红尘劫的应有之义啊。
205060362384,3146,韩立也算被捅了心窝子了。当初是家境贫寒，被迫修仙。心性上进，所以在这个唯一的选择上一路精进。但真正的人生并没有来得及参透。道行越高，追杀他的人越离谱，一辈子匆匆而过，和老仙人并无二致。老人家所说的红尘生活未必不是韩立的遗憾。
205039036704,2692,看的泪流满面[大哭]……这文戏的深度，对人生的感悟，生老病死，生死离别～～人生如棋，落子无悔，道友你走的每一步可曾念头通达？
205041795872,2559,韩立自幼离家，踏上修仙一途后历经生死。为求道，忍痛别离墨彩环，拒绝南宫婉收留，被魔道追杀逃至乱星海。谁料又被极阴岛通缉，东躲西藏。天星城结丹六十年岁月匆匆过，家人红颜皆已成尘土！韩立这一路行迹匆匆，信念虽然坚定，但内心却是百感交集。红尘劫，正是让他歇歇脚，从人生百态中认识自己，这不仅仅是炼器，同样在打磨自身，去弥补那些缺失的，去放下那些失去的。
205042079792,2449,答应我，就这么稳扎稳打的用心做下去，更个20来年[doge]，咱也过过人家死火海的感觉，反正小说量大管饱随便做。
205050913344,2244,这集超神了，国漫能做年番的剧，能达到这集的高度的基本没有。
205058381488,1973,这集成功让我放弃修仙的念头，何仙师让我悟了，挚爱贤妻，三五好友，这样百年归于尘土岂不美哉，我原来一直过着神仙道都羡慕的生活，感谢制作组。
205067041008,1888,嗯，出场的一对男女，男的有灵根，女的却没有，对应了韩立和墨彩环，仙凡有别，注定不能在一起。小龙有灵根，留在家无忧随性的修炼，家里也没有背景助他成长，注定不能成器。对应的韩立自从见他妹妹出嫁之后再也没有见过家人，独自修炼九死一生到结丹。第三个老头其实就是没有结丹成功的韩立，因结丹无望所以用一个兴趣来打法寿元。让韩立看到红尘中的自己，这些其实就是红尘劫的意义。
205039553568,1653,人生百年，蜉蝣一日，长生与我何有哉！不过又入樊笼。 不若二三好友，麻将饮酒，良缘佳侣，人间携手。 这才是凡人永恒的主题啊
205046133904,1621,韩大哥，没有灵根真的无法修行吗？带我走可以吗？ 谢谢你救了我那么多次。 谢谢你陪我一起看烟火。 谢谢你出现在我微不足道的生命里。。。
205039889872,1538,这集文戏超神，通篇都在给我们讲述“人生如棋、落子无悔”的思想，无不映射着现实生活，我们每个人走到现在，遇到了很多选择题，我们也都做出了相应的答案，但也承受着这个自以为所选择的真理带来的“利”与“弊”，但也只能默默忍受，坚定信念，继续前进……
